t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,effort_status
0,-0.000002,0.926469,0,0.000870,0,0.000018,0,0.000396,1.339942,0,0.100000,0.493788,0,0,0,1,stable
0.100000,-0.000001,0.928852,0,0.001185,0,0.000017,1.589053,0.000542,1.348769,0,0.100000,0.000000,1.589053,0,0,1,stable
0.200000,-0.000004,0.926365,-0.000000,0.001582,0,0.000017,1.572487,0.000726,1.356829,0,0.100000,0.000000,1.572487,15.890532,0,1,stable
0.300000,-0.000007,0.916137,-0.000000,0.002063,0,0.000017,1.553142,0.000951,1.363293,0.000000,0.100000,0.000000,1.553142,-0.165666,0,1,stable
0.400000,-0.000007,0.899078,-0.000000,0.002631,0,0.000017,1.531704,0.001219,1.367475,0.000000,0.100000,0.000000,1.531704,-0.193446,0,1,stable
0.500000,-0.000003,0.880554,-0.000000,0.003280,0,0.000017,1.509106,0.001527,1.368921,0.000000,0.100000,0.000000,1.509106,-0.214384,0,1,stable
0.600000,-0.000000,0.868472,-0.000000,0.004002,0,0.000018,1.492234,0.001873,1.367475,0.000000,0.100000,0.000000,1.492234,-0.225977,0,1,stable
0.700000,-0.000006,0.869010,-0.000000,0.004786,0,0.000018,1.481589,0.002252,1.363293,0.000000,0.100000,0.000000,1.481589,-0.168718,0,1,stable
0.800000,-0.000023,0.882722,0.000000,0.005618,0,0.000017,1.471186,0.002658,1.356829,0.000000,0.100000,0.000000,1.471186,-0.106454,0,1,stable
0.900000,-0.000052,0.904370,0.000000,0.006488,0,0.000020,1.460813,0.003088,1.348769,0.000000,0.100000,0.000000,1.460813,-0.104026,0,1,stable
1,-0.000089,0.926469,0.000000,0.007385,0,0.000017,1.450272,0.003537,1.339942,0.000000,0.774711,0.000000,1.580770,-0.103729,0,10.510006,stable
1.100000,-0.000124,0.943205,0.000000,0.008302,0,0.000018,1.439426,0.004002,1.331227,0.000000,0.758478,0.000000,1.571561,-0.105416,0,14.879244,chronique
1.200000,-0.000140,0.952136,0.000000,0.009232,0,0.000018,1.428239,0.004480,1.323459,0.000000,0.671920,0.000000,1.571561,-0.108459,0,19.286412,stable
1.300000,-0.000115,0.953688,0.000000,0.010170,0,0.000018,1.416789,0.004970,1.317356,0.000000,0.590420,0.000000,1.571561,-0.111871,0,20.263435,stable
1.400000,-0.000052,0.949772,0.000000,0.011115,0,0.000018,1.405270,0.005470,1.313467,0.000001,0.424674,0.000000,1.571561,-0.114494,0,19.614536,stable
1.500000,-0.000002,0.942661,0.000000,0.012064,0,0.000018,1.393969,0.005981,1.312132,0.000002,0.304428,0.000000,1.571561,-0.115191,0,19.005907,stable
1.600000,-0.000044,0.934548,0.000000,0.013016,0,0.000018,1.388838,0.006503,1.313467,0.000002,0.315486,0.000000,1.561596,-0.113009,0,19.614536,stable
1.700000,-0.000199,0.927558,0.000000,0.013970,0,0.000018,1.389725,0.007034,1.317356,0.000004,0.414402,0.000000,1.561596,-0.051312,0,19.005907,stable
1.800000,-0.000376,0.923592,-0.000000,0.014926,0,0.000018,1.390413,0.007575,1.323459,0.000009,0.780723,0.000000,1.561596,0.008867,0,12.975802,stable
1.900000,-0.000393,0.923588,-0.000000,0.015882,0,0.000018,1.390369,0.008127,1.331227,0.000008,0.843212,0.000000,1.561596,0.006880,0,16.136756,stable
2,-0.000176,0.926469,-0.000000,0.016838,0,0.000019,1.389178,0.008688,1.339942,0.000014,0.718628,0.000000,1.561596,-0.000432,0,11.699417,stable
2.100000,-0.000002,0.928852,-0.000000,0.017794,0,0.000018,1.386569,0.009260,1.348769,0.000033,0.595624,0.000000,1.551098,-0.011912,0,8.957106,stable
2.200000,-0.000196,0.926365,-0.000000,0.018748,0,0.000018,1.382441,0.009840,1.356829,0.000025,0.587312,0.000000,1.551098,-0.026094,0,11.699417,stable
2.300000,-0.000577,0.916137,-0.000000,0.019699,0,0.000017,1.376877,0.010430,1.363293,0.000055,0.737476,0.000000,1.551098,-0.041279,0,8.957106,stable
2.400000,-0.000752,0.899078,0.000000,0.020644,0,0.000018,1.370138,0.011027,1.367475,0.000063,0.813893,0.000000,1.551098,-0.055640,0,12.035966,stable
2.500000,-0.000608,0.880554,0.000000,0.021583,0,0.000018,1.362636,0.011631,1.368921,0.000059,0.756116,0.000000,1.551098,-0.067395,0,14.458114,stable
2.600000,-0.000275,0.868472,0.000000,0.022512,0,0.000018,1.360699,0.012241,1.367475,0.000085,0.650265,0.000000,1.541288,-0.075018,0,14.408876,stable
2.700000,-0.000082,0.869010,0.000000,0.023429,0,0.000018,1.364306,0.012855,1.363293,0.000094,0.591701,0.000000,1.541288,-0.019364,0,14.359971,stable
2.800000,-0.000043,0.882722,0.000000,0.024329,0,0.000018,1.367041,0.013471,1.356829,0.000087,0.581443,0.000000,1.541288,0.036062,0,11.217109,stable
2.900000,-0.000126,0.904370,0.000000,0.025207,0,0.000018,1.368387,0.014086,1.348769,0.000090,0.593296,0.000000,1.541288,0.027352,0,14.359971,stable
3,-0.000452,0.926469,-0.000000,0.026058,0,0.000020,1.367967,0.014695,1.339942,0.000092,0.590395,0.000000,1.541288,0.013460,0,11.217109,stable
3.100000,-0.000820,0.943205,-0.000000,0.026875,0,0.000019,1.365573,0.015296,1.331227,0.000104,0.627695,0.000000,1.532759,-0.004195,0,9.202931,stable
3.200000,-0.001130,0.952136,-0.000000,0.027647,0,0.000018,1.361164,0.015882,1.323459,0.000099,0.664963,0.000000,1.532759,-0.023940,0,9.585329,stable
3.300000,-0.001378,0.953688,-0.000000,0.028363,0,0.000019,1.354846,0.016445,1.317356,0.000097,0.718078,0.000000,1.532759,-0.044094,0,12.639828,stable
3.400000,-0.001226,0.949772,-0.000000,0.029009,0,0.000018,1.346838,0.016977,1.313467,0.000095,0.723100,0.000000,1.532759,-0.063180,0,13.448935,stable
3.500000,-0.000609,0.942661,-0.000000,0.029566,0,0.000018,1.337424,0.017467,1.312132,0.000122,0.668448,0.000000,1.532759,-0.080081,0,11.930720,stable
3.600000,-0.000162,0.934548,-0.000000,0.030013,3,0.000019,1.332504,0.017899,1.313467,0.000167,0.592999,0.000000,1.525062,-0.094134,0,11.489915,stable
3.700000,-0.000234,0.927558,-0.000000,0.030325,3,0.000019,1.331804,0.018256,1.317356,0.000146,0.589684,0.000000,1.525062,-0.049209,0,11.080523,stable
3.800000,-0.000728,0.923592,-0.000000,0.030469,3,0.000018,1.328912,0.018518,1.323459,0.000185,0.601640,0.000000,1.525062,-0.006997,0,10.996698,stable
3.900000,-0.001495,0.923588,0.000000,0.030411,3,0.000023,1.334815,0.018660,1.331227,0.000221,0.668315,0.000000,1.525062,-0.028920,0,10.914131,stable
4,-0.001507,0.926469,0.000000,0.030115,0,0.000018,1.341437,0.018654,1.339942,0.000235,0.725183,0.000000,1.525062,0.059034,0,11.255794,stable
4.100000,-0.000531,0.928852,0.000000,0.029544,0,0.000017,1.346678,0.018473,1.348769,0.000273,0.666172,0.000000,1.517924,0.066216,0,10.802434,stable
4.200000,-0.000144,0.926365,0.000000,0.028667,0,0.000017,1.353484,0.018089,1.356829,0.000444,0.593183,0.000000,1.517924,0.052413,0,10.000160,stable
4.300000,-0.000397,0.916137,0.000000,0.027462,0,0.000017,1.367222,0.017483,1.363293,0.000364,0.592969,0.000000,1.517924,0.068059,0,10.472938,stable
4.400000,-0.000788,0.899078,0.000000,0.025929,0,0.000017,1.383910,0.016646,1.367475,0.000418,0.612585,0.000000,1.517924,0.137382,0,9.856623,stable
4.500000,-0.001015,0.880554,-0.000000,0.024091,0,0.000016,1.406477,0.015584,1.368921,0.000406,0.647953,0.000000,1.517924,0.166873,0,9.308815,stable
4.600000,-0.000653,0.868472,-0.000000,0.021998,0,0.000018,1.438728,0.014326,1.367475,0.000395,0.629294,0.000000,1.511158,0.225678,0,8.911786,stable
4.700000,-0.000383,0.869010,-0.000000,0.019730,0,0.000017,1.478909,0.012922,1.363293,0.000434,0.584012,0.000000,1.511158,0.322508,0,8.547238,stable
4.800000,-0.000213,0.882722,-0.000000,0.017380,0,0.000018,1.519332,0.011434,1.356829,0.000408,0.565699,0.000000,1.514022,0.401808,0,8.097783,stable
4.900000,-0.000040,0.904370,-0.000000,0.015049,0,0.000018,1.557603,0.009934,1.348769,0.000400,0.565854,0.000000,1.519874,0.404233,0,7.693235,stable
5,-0.000021,0.926469,-0.000000,0.012829,0,0.000018,1.591621,0.008488,1.339942,0.000391,0.562319,0.000000,1.528516,0.382708,0,8.097783,stable
5.100000,-0.000048,0.943205,-0.000000,0.010788,0,0.000018,1.619750,0.007149,1.331227,0.000387,0.562257,0.000000,1.534253,0.340184,0,8.547238,transitoire
5.200000,-0.000050,0.952136,-0.000000,0.008971,0,0.000017,1.641014,0.005950,1.323459,0.000379,0.562348,0.000000,1.547056,0.281290,0,8.911786,transitoire
5.300000,-0.000059,0.953688,-0.000000,0.007397,0,0.000018,1.655133,0.004908,1.317356,0.000372,0.562240,0.000000,1.561550,0.212638,0,9.308815,transitoire
5.400000,-0.000063,0.949772,0.000000,0.006062,0,0.000017,1.662420,0.004023,1.313467,0.000365,0.561886,0.000000,1.576359,0.141184,0,9.856623,transitoire
5.500000,-0.000040,0.942661,0.000000,0.004952,0,0.000017,1.663614,0.003287,1.312132,0.000358,0.561600,0.000000,1.590296,0.072873,0,10.472938,transitoire
5.600000,-0.000015,0.934548,0.000000,0.004041,0,0.000017,1.665295,0.002682,1.313467,0.000352,0.561986,0.000000,1.596406,0.011943,0,10.635134,transitoire
5.700000,-0.000005,0.927558,0.000000,0.003300,0,0.000018,1.667999,0.002191,1.317356,0.000346,0.562485,0.000000,1.608570,0.016808,0,10.802434,transitoire
5.800000,-0.000001,0.923592,0.000000,0.002703,0,0.000018,1.666182,0.001796,1.323459,0.000340,0.562435,0.000000,1.619928,0.027040,0,11.342338,transitoire
5.900000,-0.000003,0.923588,-0.000000,0.002224,0,0.000018,1.659926,0.001479,1.331227,0.000334,0.561374,0.000000,1.629348,-0.018170,0,11.939050,transitoire
6,-0.000006,0.926469,-0.000000,0.001841,0,0.000019,1.649356,0.001225,1.339942,0.000329,0.560128,0.000000,1.637875,-0.062558,0,12.029370,chronique
6.100000,-0.000003,0.928852,-0.000000,0.001536,0,0.000018,1.634665,0.001023,1.348769,0.000323,0.559668,0.000000,1.638758,-0.105707,0,12.121067,chronique
6.200000,-0.000001,0.926365,-0.000000,0.001292,0,0.000017,1.616151,0.000862,1.356829,0.000318,0.558262,0.000000,1.643541,-0.146905,0,12.568904,chronique
6.300000,-0.000000,0.916137,-0.000000,0.001097,0,0.000018,1.594234,0.000733,1.363293,0.000313,0.554004,0.000000,1.645625,-0.185139,0,13.051103,chronique
6.400000,-0.000000,0.899078,-0.000000,0.000941,0,0.000017,1.569464,0.000631,1.367475,0.000308,0.548992,0.000000,1.645826,-0.219171,0,14.711890,chronique
6.500000,-0.000001,0.880554,-0.000000,0.000817,0,0.000017,1.542506,0.000549,1.368921,0.000303,0.546583,0.000000,1.645826,-0.247699,0,16.856986,chronique
6.600000,-0.000001,0.868472,0.000000,0.000718,0,0.000017,1.519911,0.000484,1.367475,0.000299,0.546518,0.000000,1.641954,-0.269577,0,17.610025,chronique
6.700000,-0.000001,0.869010,0.000000,0.000639,0,0.000018,1.501856,0.000432,1.363293,0.000294,0.545643,0.000000,1.641954,-0.225953,0,18.433490,chronique
6.800000,-0.000001,0.882722,0.000000,0.000576,0,0.000017,1.482114,0.000391,1.356829,0.000290,0.546089,0.000000,1.641954,-0.180548,0,20.842613,chronique
6.900000,-0.000000,0.904370,0.000000,0.000527,0,0.000017,1.460341,0.000359,1.348769,0.000286,0.548056,0.000000,1.641954,-0.197426,0,23.976117,chronique
7,-0.000000,0.926469,0.000000,0.000489,0,0.000017,1.436335,0.000334,1.339942,0.000282,0.538683,0.000000,1.641954,-0.217724,0,24.694159,chronique
7.100000,-0.000000,0.943205,0.000000,0.000461,0,0.000018,1.410057,0.000316,1.331227,0.000278,0.531524,0.000000,1.638428,-0.240068,0,25.456538,chronique
7.200000,-0.000000,0.952136,0.000000,0.000440,0,0.000018,1.382272,0.000303,1.323459,0.000274,0.531495,0.000000,1.638428,-0.262776,0,27.008974,chronique
7.300000,-0.000000,0.953688,0.000000,0.000428,0,0.000017,1.353882,0.000296,1.317356,0.000270,0.533248,0.000000,1.638428,-0.277849,0,28.763053,stable
7.400000,-0.000000,0.949772,0.000000,0.000422,0,0.000017,1.327072,0.000293,1.313467,0.000266,0.534566,0.000000,1.638428,-0.283897,0,28.861009,stable
7.500000,-0.000000,0.942661,-0.000000,0.000422,4,0.000019,1.309811,0.000295,1.312132,0.000263,0.529859,0.000000,1.638428,-0.268108,0,28.959634,stable
7.600000,-0.000000,0.934548,-0.000000,0.000430,0,0.000018,1.336031,0.000301,1.313467,0.000259,0.529458,0.000000,1.634306,-0.172602,0,29.657231,stable
7.700000,-0.000000,0.927558,-0.000000,0.000444,0,0.000020,1.368124,0.000313,1.317356,0.000256,0.536032,0.000000,1.634306,0.262197,0,30.389265,stable
7.800000,-0.000000,0.923592,-0.000000,0.000466,0,0.000018,1.399236,0.000331,1.323459,0.000253,0.539190,0.000000,1.634306,0.320926,0,30.770438,stable
7.900000,-0.000000,0.923588,-0.000000,0.000497,0,0.000018,1.428841,0.000354,1.331227,0.000250,0.540954,0.000000,1.634306,0.311126,0,31.161293,stable
8,-0.000000,0.926469,-0.000000,0.000538,0,0.000019,1.456501,0.000386,1.339942,0.000246,0.546192,0.000001,1.634306,0.296042,0,32.685596,stable
8.100000,-0.000001,0.928852,0.000000,0.000591,0,0.000017,1.481904,0.000426,1.348769,0.000243,0.556055,0.000001,1.630492,0.276605,0,34.366696,stable
8.200000,-0.000001,0.926365,0.000000,0.000659,0,0.000017,1.504880,0.000478,1.356829,0.000240,0.567390,0.000001,1.630492,0.254034,0,34.626002,stable
8.300000,-0.000001,0.916137,0.000000,0.000745,0,0.000017,1.525406,0.000544,1.363293,0.000237,0.592350,0.000002,1.630492,0.229753,0,34.889251,stable
8.400000,-0.000000,0.899078,0.000000,0.000854,0,0.000017,1.543599,0.000627,1.367475,0.000235,0.619965,0.000003,1.630492,0.205259,0,36.354662,stable
8.500000,-0.000000,0.880554,0.000000,0.000992,0,0.000016,1.559678,0.000733,1.368921,0.000232,0.630457,0.000006,1.630492,0.181932,0,37.948569,stable
8.600000,-0.000001,0.868472,0.000000,0.001167,0,0.000017,1.579709,0.000868,1.367475,0.000229,0.629170,0.000005,1.626558,0.160787,0,37.961986,stable
8.700000,-0.000002,0.869010,-0.000000,0.001389,0,0.000018,1.603325,0.001040,1.363293,0.000227,0.631587,0.000010,1.627671,0.200314,0,37.975412,stable
8.800000,-0.000004,0.882722,-0.000000,0.001671,0,0.000017,1.623658,0.001260,1.356829,0.000224,0.646327,0.000009,1.629552,0.236160,0,47.858552,chronique
8.900000,-0.000007,0.904370,-0.000001,0.002032,0,0.000017,1.639597,0.001542,1.348769,0.000221,0.720718,0.000005,1.632395,0.203327,0,64.695664,chronique
9,-0.000007,0.926469,-0.000001,0.002493,0,0.000018,1.650001,0.001905,1.339942,0.000219,0.782786,0.000024,1.635722,0.159388,0,67.305837,chronique
9.100000,-0.000008,0.943205,-0.000001,0.003084,0,0.000018,1.653692,0.002373,1.331227,0.000217,0.665057,0.000053,1.636473,0.104044,0,70.135482,chronique
9.200000,-0.000012,0.952136,-0.000002,0.003841,0,0.000018,1.649426,0.002975,1.323459,0.000214,0.625084,0.000085,1.639876,0.036912,0,83.055846,chronique
9.300000,-0.000012,0.953688,-0.000004,0.004809,0,0.000019,1.635861,0.003751,1.317356,0.000212,0.647031,0.000086,1.642918,-0.042666,0,101.811584,chronique
9.400000,-0.000004,0.949772,-0.000005,0.006046,0,0.000018,1.611551,0.004747,1.313467,0.000210,0.729581,0.000272,1.645109,-0.135650,0,113.223626,chronique
9.500000,-0.000029,0.942661,-0.000004,0.007615,0,0.000018,1.574991,0.006019,1.312132,0.000207,0.849089,0.000691,1.645542,-0.243093,0,127.516981,chronique
9.600000,-0.000110,0.934548,0.000005,0.009591,0,0.000018,1.530342,0.007630,1.313467,0.000205,0.862197,0.000718,1.643431,-0.365599,0,113.223626,chronique
9.700000,-0.000142,0.927558,0.000022,0.012050,0,0.000017,1.475941,0.009645,1.317357,0.000204,0.808263,0.001198,1.643431,-0.446490,0,101.811584,chronique
9.800000,-0.000203,0.923592,0.000048,0.015063,0,0.000018,1.404716,0.012126,1.323460,0.000201,0.723345,0.002721,1.643431,-0.544009,0,83.055846,chronique
9.900000,-0.000148,0.923588,0.000072,0.018683,0,0.000017,1.316342,0.015119,1.331228,0.000199,0.709664,0.002889,1.643431,-0.712255,0,70.135482,chronique
10,-0.000138,0.926469,0.000037,0.022926,0,0.000018,1.212013,0.018638,1.339943,0.000198,0.641396,0.008309,1.643431,-0.883744,0,67.305837,chronique
10.100000,-0.000643,0.928852,0.000034,0.027755,0,0.000020,1.094582,0.022656,1.348771,0.000196,0.555814,0.010003,1.641088,-1.043288,0,64.695664,chronique
10.200000,-0.000736,0.926365,0.000166,0.033070,0,0.000018,0.968346,0.027085,1.356823,0.000208,0.860100,0.012553,1.641088,-1.174304,0,57.418764,stable
10.300000,-0.000898,0.916137,-0.000104,0.038710,0,0.000018,0.838636,0.031792,1.363284,0.000201,0.807307,0.013721,1.641088,-1.262363,0,51.613348,stable
10.400000,0.000292,0.899078,-0.000507,0.044470,0,0.000018,0.710920,0.036603,1.367452,0.000195,0.762730,0.020839,1.641088,-1.297096,0,43.756341,stable
10.500000,-0.001192,0.880554,-0.000916,0.050136,0,0.000018,0.590275,0.041339,1.368896,0.000291,0.871253,0.026602,1.641088,-1.277170,0,37.975412,stable
10.600000,0.000423,0.868472,-0.000446,0.055514,0,0.000018,0.486314,0.045836,1.367476,0.000465,0.867426,0.019859,1.638840,-1.206444,0,37.961986,stable
10.700000,-0.000351,0.869010,0.000685,0.060459,0,0.000018,0.401109,0.049974,1.363303,0.000501,0.888674,0.032089,1.638840,-1.039611,0,37.948569,stable
10.800000,-0.001570,0.882722,0.000972,0.064882,0,0.000018,0.328720,0.053679,1.356836,0.000361,0.853560,0.019080,1.638840,-0.852050,0,36.354662,stable
10.900000,0.000627,0.904370,0.000472,0.068749,0,0.000017,0.268090,0.056923,1.348782,0.000303,0.880830,0.013618,1.638840,-0.723895,0,36.356663,stable
11,0.002621,0.926469,-0.000039,0.072069,0,0.000017,0.217684,0.059714,1.339969,0.000726,0.871164,0.028110,1.638840,-0.606300,0,36.082342,stable
11.100000,0.002495,0.943205,-0.000159,0.074881,0,0.000018,0.175766,0.062085,1.331272,0.000499,0.933971,0.034248,1.636675,-0.504059,0,59.781022,stable
11.200000,0.001893,0.952136,0.000128,0.077239,0,0.000018,0.140693,0.064079,1.323521,0.000660,0.900856,0.033249,1.636675,-0.419174,0,56.856742,stable
11.300000,0.003030,0.953688,0.000660,0.079201,0,0.000018,0.111082,0.065745,1.317434,0.000637,0.859000,0.029991,1.636675,-0.350737,0,54.205211,stable
11.400000,0.004928,0.949772,0.001232,0.080826,0,0.000017,0.085879,0.067131,1.313555,0.000699,0.807810,0.044955,1.636675,-0.296109,0,61.878171,stable
11.500000,0.001124,0.942661,0.001617,0.082167,0,0.000018,0.064361,0.068280,1.312215,0.000724,0.792776,0.063034,1.636675,-0.252031,0,99.374016,stable
11.600000,-0.005823,0.934548,0.001503,0.083269,0,0.000018,0.051489,0.069230,1.313498,0.001973,0.752122,0.055185,1.634301,-0.215172,0,96.980235,stable
11.700000,0.001098,0.927558,0.000496,0.084172,0,0.000019,0.046617,0.070011,1.317280,0.002628,0.901530,0.025346,1.634301,-0.128721,0,111.910289,stable
11.800000,-0.000786,0.923592,-0.001175,0.084907,0,0.000019,0.043308,0.070651,1.323352,0.008899,0.920016,0.073575,1.634301,-0.048722,0,111.529167,stable
11.900000,0.000086,0.923588,-0.001702,0.085501,0,0.000018,0.040340,0.071171,1.331157,0.004683,0.923247,0.057444,1.634301,-0.033089,0,111.150632,stable
12,0.004051,0.926469,-0.001034,0.085974,0,0.000018,0.036682,0.071586,1.339804,0.003185,0.924459,0.094397,1.634301,-0.029681,0,104.372246,stable
12.100000,-0.006709,0.928852,-0.001397,0.086341,0,0.000017,0.032776,0.071910,1.348743,0.003543,0.930144,0.082195,1.631929,-0.036575,0,98.373084,stable
12.200000,-0.001073,0.926365,-0.000670,0.086615,0,0.000016,0.027136,0.072152,1.356785,0.010955,0.929851,0.070773,1.631929,-0.039066,0,109.934058,stable
12.300000,-0.005826,0.916137,-0.000853,0.086805,0,0.000017,0.020911,0.072321,1.363376,0.010633,0.922997,0.053861,1.631929,-0.056397,0,106.737459,stable
12.400000,0.004797,0.899078,0.001297,0.086917,0,0.000018,0.013218,0.072420,1.367588,0.006079,0.909735,0.049924,1.631929,-0.062253,0,92.787651,stable
12.500000,0.000267,0.880554,0.002165,0.086954,0,0.000017,0.004954,0.072453,1.369008,0.011084,0.913717,0.075853,1.631929,-0.076928,0,82.062660,stable
12.600000,0.005198,0.868472,0.000981,0.086917,0,0.000018,0.004674,0.072420,1.367605,0.010133,0.913006,0.049524,1.629643,-0.082640,0,79.930008,stable
12.700000,0.001872,0.869010,0.000182,0.086805,0,0.000018,0.012528,0.072321,1.363366,0.006426,0.907306,0.064112,1.629643,-0.002801,0,77.905395,stable
12.800000,-0.002279,0.882722,-0.000335,0.086615,0,0.000018,0.019512,0.072152,1.356831,0.006246,0.905163,0.037223,1.629643,0.078540,0,76.448107,stable
12.900000,-0.000608,0.904370,-0.000117,0.086341,0,0.000018,0.025307,0.071910,1.348729,0.005431,0.902644,0.013108,1.629643,0.069841,0,75.044338,stable
13,0.002520,0.926469,0.000347,0.085974,0,0.000018,0.029797,0.071586,1.339871,0.006204,0.903861,0.018905,1.629643,0.057952,0,67.208278,stable
13.100000,0.003873,0.943205,0.000508,0.085501,0,0.000018,0.032927,0.071171,1.331128,0.006074,0.903320,0.031138,1.627414,0.044901,0,60.853963,stable
13.200000,0.003670,0.952136,0.000245,0.084907,0,0.000017,0.034842,0.070651,1.323335,0.005943,0.879927,0.040164,1.627414,0.031293,0,59.445741,stable
13.300000,0.003550,0.953688,-0.000325,0.084172,0,0.000017,0.035910,0.070011,1.317216,0.006039,0.875193,0.044404,1.627414,0.019154,0,58.101219,stable
13.400000,0.005154,0.949772,-0.001068,0.083269,0,0.000017,0.036676,0.069230,1.313325,0.005954,0.867885,0.042522,1.627414,0.010678,0,55.954553,stable
13.500000,0.005591,0.942661,-0.001802,0.082167,0,0.000017,0.037833,0.068280,1.312019,0.006012,0.888310,0.061430,1.627414,0.007661,0,53.960861,stable
13.600000,-0.000270,0.934548,-0.002147,0.080826,0,0.000017,0.046103,0.067131,1.313417,0.005911,0.901084,0.065530,1.624995,0.011567,0,53.552641,stable
13.700000,-0.003016,0.927558,-0.001664,0.079201,0,0.000018,0.061376,0.065745,1.317343,0.007617,0.901150,0.052483,1.624995,0.082703,0,53.150551,stable
13.800000,-0.001044,0.923592,-0.000610,0.077239,0,0.000018,0.078294,0.064079,1.323448,0.006702,0.900560,0.067491,1.624995,0.152733,0,50.846965,stable
13.900000,-0.003946,0.923588,0.000536,0.074881,0,0.000021,0.097313,0.062085,1.331319,0.007682,0.896996,0.043466,1.624995,0.169179,0,48.734763,stable
14,0.003876,0.926469,0.001963,0.072069,0,0.000019,0.118057,0.059714,1.340014,0.007323,0.895575,0.062510,1.624995,0.190190,0,48.410507,stable
14.100000,-0.001766,0.928852,0.000894,0.068749,0,0.000018,0.141821,0.056923,1.348846,0.010091,0.884794,0.062842,1.622671,0.207436,0,48.090537,stable
14.200000,0.001558,0.926365,0.000688,0.064882,0,0.000018,0.168818,0.053679,1.356866,0.011191,0.886233,0.059595,1.622671,0.237637,0,47.649342,stable
14.300000,-0.004957,0.916137,0.000930,0.060459,0,0.000018,0.199981,0.049974,1.363300,0.008543,0.883937,0.048817,1.622671,0.269975,0,47.216169,stable
14.400000,0.001245,0.899078,0.000399,0.055514,0,0.000017,0.235634,0.045836,1.367451,0.009281,0.871325,0.024011,1.622671,0.311632,0,46.918053,stable
14.500000,0.000022,0.880554,-0.000744,0.050136,0,0.000017,0.275827,0.041339,1.368874,0.010904,0.873882,0.047542,1.622671,0.356529,0,46.623679,stable
14.600000,0.001858,0.868472,-0.000952,0.044470,0,0.000017,0.325633,0.036603,1.367454,0.008305,0.874064,0.025367,1.620353,0.401931,0,46.918053,stable
14.700000,0.001555,0.869010,-0.000090,0.038710,0,0.000018,0.383009,0.031792,1.363276,0.007463,0.874640,0.031257,1.620353,0.498056,0,46.623679,stable
14.800000,0.000386,0.882722,-0.000117,0.033070,0,0.000017,0.438665,0.027085,1.356813,0.007384,0.860045,0.020991,1.620353,0.573762,0,46.038808,stable
14.900000,0.000189,0.904370,-0.000534,0.027755,0,0.000018,0.489105,0.022656,1.348758,0.007344,0.859839,0.012557,1.620353,0.556560,0,45.468429,stable
15,0.000228,0.926469,-0.000755,0.022926,0,0.000018,0.531309,0.018638,1.339936,0.007277,0.858620,0.011674,1.620353,0.504402,0,43.361512,stable
15.100000,0.000198,0.943205,-0.000725,0.018683,0,0.000018,0.563217,0.015119,1.331225,0.007225,0.859453,0.009911,1.617877,0.422040,0,41.441209,stable
15.200000,0.000136,0.952136,-0.000549,0.015063,0,0.000018,0.583966,0.012126,1.323458,0.007176,0.861957,0.007302,1.617877,0.319074,0,39.673704,stable
15.300000,0.000083,0.953688,-0.000326,0.012050,0,0.000018,0.593798,0.009645,1.317357,0.007129,0.860975,0.007386,1.617877,0.207496,0,41.441209,stable
15.400000,0.000061,0.949772,-0.000113,0.009591,0,0.000018,0.593759,0.007630,1.313468,0.007083,0.862849,0.006435,1.617877,0.098315,0,43.361512,transitoire
15.500000,0.000070,0.942661,0.000061,0.007615,0,0.000018,0.585365,0.006019,1.312133,0.007037,0.864237,0.005057,1.617877,-0.000393,0,45.468429,transitoire
15.600000,0.000051,0.934548,0.000184,0.006046,0,0.000019,0.575909,0.004747,1.313468,0.006992,0.860365,0.005854,1.615522,-0.083940,0,46.038808,chronique
15.700000,0.000003,0.927558,0.000239,0.004809,0,0.000018,0.566527,0.003751,1.317357,0.006947,0.861068,0.005446,1.615522,-0.094559,0,46.623679,chronique
15.800000,-0.000001,0.923592,0.000191,0.003841,0,0.000018,0.552146,0.002975,1.323459,0.006903,0.861967,0.002520,1.615522,-0.093820,0,46.918053,chronique
15.900000,-0.000007,0.923588,0.000014,0.003084,0,0.000018,0.533211,0.002373,1.331227,0.006860,0.859951,0.002472,1.615522,-0.143805,0,47.216169,chronique
16,0.000002,0.926469,-0.000069,0.002493,0,0.000019,0.510110,0.001905,1.339942,0.006817,0.858092,0.001228,1.615522,-0.189355,0,47.649342,chronique
16.100000,0.000002,0.928852,-0.000026,0.002032,0,0.000017,0.483236,0.001542,1.348769,0.006775,0.861561,0.001974,1.612982,-0.231003,0,48.090537,chronique
16.200000,0.000003,0.926365,-0.000025,0.001671,0,0.000018,0.453029,0.001260,1.356829,0.006733,0.861410,0.001474,1.612982,-0.268741,0,48.410507,chronique
16.300000,-0.000001,0.916137,-0.000047,0.001389,0,0.000018,0.420012,0.001040,1.363293,0.006692,0.871939,0.001275,1.612982,-0.302077,0,48.734763,chronique
16.400000,-0.000000,0.899078,-0.000038,0.001167,0,0.000018,0.384813,0.000868,1.367475,0.006651,0.887675,0.000766,1.612982,-0.330168,0,49.069028,chronique
16.500000,-0.000000,0.880554,0.000006,0.000992,0,0.000018,0.348155,0.000733,1.368921,0.006611,0.858975,0.000613,1.612982,-0.351986,0,49.407909,chronique
